date,open,high,low,close,volume,dividends,stock_splits,adjusted_close
2026-04-02,290.5164904801884,297.9020635524316,289.2772403921399,295.59344482421875,21666500,0.0,0.0,295.59344482421875
2026-04-06,295.69337737406744,300.4405418912755,295.0037868253031,299.8109130859375,16945500,0.0,0.0,299.8109130859375
2026-04-07,302.5492981026724,305.4475608650088,297.5422790326475,305.27764892578125,23205400,0.0,0.0,305.27764892578125
2026-04-08,320.25872115869026,321.88772251879675,314.8319393907938,317.1305847167969,33547100,0.0,0.0,317.1305847167969
2026-04-09,315.72141928886384,319.3492572184689,310.8743084256086,318.29986572265625,23739200,0.0,0.0,318.29986572265625
2026-04-10,319.8289680511782,321.6378852163977,316.1311948927162,317.0506286621094,19152600,0.0,0.0,317.0506286621094
2026-04-13,316.9507009019676,321.4380108789369,315.28168437302884,321.1181945800781,18866400,0.0,0.0,321.1181945800781
2026-04-14,324.59612530340485,333.09105123243734,323.5567375910905,332.7112731933594,27721400,0.0,0.0,332.7112731933594
2026-04-15,332.69130668872015,337.278563176308,330.70247381548376,336.91876220703125,24918800,0.0,0.0,336.91876220703125
2026-04-16,338.5477782390461,339.6771085489368,334.3202924195682,335.81939697265625,20541500,0.0,0.0,335.81939697265625
2026-04-17,337.4484504303517,342.1156763245155,336.0392884001999,341.4760437011719,25581900,0.0,0.0,341.4760437011719
2026-04-20,340.55660000710446,341.1962021124509,336.40905286572576,337.2185974121094,18784200,0.0,0.0,337.2185974121094
2026-04-21,337.4884145965044,339.13742351057505,331.1522029907326,332.0916442871094,23123800,0.0,0.0,332.0916442871094
2026-04-22,336.818816762841,339.6171637007564,334.96994545488326,339.1174621582031,20293000,0.0,0.0,339.1174621582031
2026-04-23,340.9763246437424,341.7558578013153,335.97930940305434,338.6877136230469,18650300,0.0,0.0,338.6877136230469
2026-04-24,338.5277988797623,345.063872727698,335.1897964239415,344.19439697265625,26426100,0.0,0.0,344.19439697265625
2026-04-27,345.77347673538645,352.9691603649003,342.5254168368208,350.130859375,28576900,0.0,0.0,350.130859375
2026-04-28,348.34192077884484,352.20963620070955,345.91337868788094,349.5711975097656,27824100,0.0,0.0,349.5711975097656
2026-04-29,347.36252924438134,355.5776236260777,344.0045190996302,349.7311096191406,35376300,0.0,0.0,349.7311096191406
2026-04-30,373.8467067603946,385.6096696957082,365.60163158627074,384.5702819824219,72040000,0.0,0.0,384.5702819824219
2026-05-01,381.4022037517389,386.5291464515476,378.823726715884,385.4597778320313,30105200,0.0,0.0,385.4597778320313
2026-05-04,385.3997937985888,387.1487490940992,379.5632837866369,383.0212097167969,26298600,0.0,0.0,383.0212097167969
2026-05-05,385.9994517026946,392.58551415458055,383.79074899852696,388.1981201171875,23878600,0.0,0.0,388.1981201171875
2026-05-06,394.0146525811788,399.61131576273664,392.5255517960256,397.8023986816406,31308500,0.0,0.0,397.8023986816406
2026-05-07,399.6812819584635,399.8611671879692,392.4455831227277,397.7524108886719,24433500,0.0,0.0,397.7524108886719
2026-05-08,396.7630105926761,401.7600258394352,396.1233780013978,400.5607299804688,21461800,0.0,0.0,400.5607299804688
2026-05-11,393.415008612389,397.2027547509894,388.23810807955056,388.4080200195313,30753700,0.0,0.0,388.4080200195313
2026-05-12,387.1087706238473,388.28805889354703,382.541491402114,387.1187744140625,26017500,0.0,0.0,387.1187744140625
2026-05-13,385.3698394939953,403.4590416115898,384.77019153718186,402.3796691894531,28144600,0.0,0.0,402.3796691894531
2026-05-14,397.0428507456917,402.6894719958145,395.6037078837972,400.8305969238281,21136700,0.0,0.0,400.8305969238281
2026-05-15,396.0834349796574,399.30151410906007,392.9452946767326,396.5431518554688,20309700,0.0,0.0,396.5431518554688
